scene,method,split,views,selection,status,num_images,device,dtype,load_images_sec,infer_sec,peak_gpu_memory_mb,camera_center_rmse,camera_center_mae,camera_center_max_error,reference_trajectory_extent,normalized_camera_center_rmse,alignment_scale,depth_mean,depth_median,depth_conf_mean,world_points_conf_mean,output_dir,error,model_load_sec
db/drjohnson,VGGT,2views_quality,2,quality,success,2,cuda,torch.bfloat16,0.07548789999782457,0.4037910000006377,7076.0400390625,8.635508522760763e-16,8.618839608962503e-16,9.155133597044475e-16,5.467779264914941,1.5793447585150641e-16,16.898995771928497,0.865959882736206,0.6099576354026794,1.151081919670105,1.1316050291061401,results\method_outputs\db\drjohnson\vggt_pose\2views_quality,,10.426694799996767
db/drjohnson,VGGT,2views_quality_diverse,2,quality_diverse,success,2,cuda,torch.bfloat16,0.076122900001792,0.3983406000006653,7076.0400390625,1.076401158743041e-15,1.0748729915631278e-15,1.1322097734007351e-15,9.801810612826106,1.0981656361881978e-16,26.660018669326803,0.6910355687141418,0.31821662187576294,1.0837063789367676,1.0310956239700317,results\method_outputs\db\drjohnson\vggt_pose\2views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,3views_uniform,3,uniform,success,3,cuda,torch.bfloat16,0.145133199999691,0.5574161000004096,7232.671875,1.3945453010688993,1.2700495904278961,1.8905875768452558,7.833364586620953,0.17802634942470597,7.285134328667249,0.8350528478622437,0.8473441004753113,1.4144763946533203,1.1736215353012085,results\method_outputs\db\drjohnson\vggt_pose\3views_uniform,,10.426694799996767
db/drjohnson,VGGT,3views_random,3,random,success,3,cuda,torch.bfloat16,0.2362914000004821,0.4870569000013347,7232.671875,0.0936855456530137,0.08850363080673392,0.1289512310632719,8.18781217388541,0.011442073128132902,6.2143909078411586,0.4722549319267273,0.3160545527935028,3.07478404045105,2.154980182647705,results\method_outputs\db\drjohnson\vggt_pose\3views_random,,10.426694799996767
db/drjohnson,VGGT,3views_quality,3,quality,success,3,cuda,torch.bfloat16,0.11679240000012214,0.5123829000003752,7232.671875,2.3005567227585337,2.2001147651162984,3.150939234421468,7.200823045832808,0.3194852460775147,2.5713222863187806,1.2909902334213257,1.481385350227356,1.6777207851409912,1.6895314455032349,results\method_outputs\db\drjohnson\vggt_pose\3views_quality,,10.426694799996767
db/drjohnson,VGGT,3views_quality_diverse,3,quality_diverse,success,3,cuda,torch.bfloat16,0.11748439999792026,0.4344500000006519,7232.671875,3.8950781347920156,3.4018977384222713,4.768201654215762,10.127584121842268,0.38460091646056627,2.130979195552408,0.6227507591247559,0.5992433428764343,1.3201481103897095,1.3117579221725464,results\method_outputs\db\drjohnson\vggt_pose\3views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,5views_uniform,5,uniform,success,5,cuda,torch.bfloat16,0.17072359999656328,0.6711045999982161,7641.01123046875,1.793090603052901,1.4538908274015294,3.486292033450145,7.156868424436311,0.2505412279106037,5.125584746952324,0.6726788878440857,0.65936678647995,1.746890902519226,1.1624387502670288,results\method_outputs\db\drjohnson\vggt_pose\5views_uniform,,10.426694799996767
db/drjohnson,VGGT,5views_random,5,random,success,5,cuda,torch.bfloat16,0.27447939999910886,0.6779719000005571,7641.01123046875,0.18289474773104047,0.16849445330769333,0.2562209523998761,10.31112977037658,0.017737605073741676,7.180315777702373,0.42722105979919434,0.3650171160697937,1.7897460460662842,1.312903881072998,results\method_outputs\db\drjohnson\vggt_pose\5views_random,,10.426694799996767
db/drjohnson,VGGT,5views_quality,5,quality,success,5,cuda,torch.bfloat16,0.23639530000218656,0.7084872000014002,7641.01123046875,2.3411056920292044,2.2144833878173906,2.7620499809738166,5.967895720790298,0.3922832773155734,1.4422128706570136,1.2162230014801025,1.3233237266540527,1.7047653198242188,1.57960844039917,results\method_outputs\db\drjohnson\vggt_pose\5views_quality,,10.426694799996767
db/drjohnson,VGGT,5views_quality_diverse,5,quality_diverse,success,5,cuda,torch.bfloat16,0.16379679999954533,0.6217166999995243,7641.01123046875,2.8276421252688997,2.4268025683186014,4.159050289798825,12.145134496663374,0.23282098078417626,6.419650539548701,0.4719725251197815,0.46079182624816895,1.2122834920883179,1.0355503559112549,results\method_outputs\db\drjohnson\vggt_pose\5views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,8views_uniform,8,uniform,success,8,cuda,torch.bfloat16,0.43541779999941355,1.5075026999984402,8329.35595703125,1.2095122576323858,0.9623437747607648,2.559882669062158,12.094966038906778,0.10000129423610266,6.5693846576695085,0.6099689602851868,0.6080045104026794,1.3789438009262085,1.0585427284240723,results\method_outputs\db\drjohnson\vggt_pose\8views_uniform,,10.426694799996767
db/drjohnson,VGGT,8views_random,8,random,success,8,cuda,torch.bfloat16,0.3616911999997683,0.9854228999975021,8329.35595703125,0.3105430464149726,0.27750708430375615,0.5545824538976515,12.167979649710794,0.02552133183608287,7.447042475298968,0.43419528007507324,0.3924955427646637,1.6360417604446411,1.0967833995819092,results\method_outputs\db\drjohnson\vggt_pose\8views_random,,10.426694799996767
db/drjohnson,VGGT,8views_quality,8,quality,success,8,cuda,torch.bfloat16,0.40763130000050296,1.0503797999990638,8329.35595703125,0.2824960142980744,0.2670334996603907,0.41270564642011714,13.817576719478412,0.020444685781975388,3.1060986989710893,0.9029565453529358,0.7917191386222839,2.0631420612335205,1.4086443185806274,results\method_outputs\db\drjohnson\vggt_pose\8views_quality,,10.426694799996767
db/drjohnson,VGGT,8views_quality_diverse,8,quality_diverse,success,8,cuda,torch.bfloat16,0.27832109999872046,1.001878699997178,8329.35595703125,2.073279043916566,1.7635676111122653,3.693458947291738,12.462859671721432,0.1663566066318545,7.638118281606517,0.3834642469882965,0.372626394033432,1.4189584255218506,1.0557085275650024,results\method_outputs\db\drjohnson\vggt_pose\8views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,12views_uniform,12,uniform,success,12,cuda,torch.bfloat16,0.6354277999998885,2.0885878000008233,8464.43212890625,1.9345768086781727,1.7357012606326598,3.470434677501738,11.275892641947067,0.17156750867611306,6.115980720078428,0.5156039595603943,0.4862135648727417,1.388949990272522,1.0946574211120605,results\method_outputs\db\drjohnson\vggt_pose\12views_uniform,,10.426694799996767
db/drjohnson,VGGT,12views_random,12,random,success,12,cuda,torch.bfloat16,0.5475879000005079,1.8824859999986074,8464.43212890625,0.5611458833728935,0.3556510923684226,1.7279299548201903,11.51839535201353,0.04871736611079248,7.265438835588551,0.4466147720813751,0.3808406889438629,2.8260765075683594,1.6133124828338623,results\method_outputs\db\drjohnson\vggt_pose\12views_random,,10.426694799996767
db/drjohnson,VGGT,12views_quality,12,quality,success,12,cuda,torch.bfloat16,0.4975100999981805,1.8133115000018734,8464.43212890625,0.8877131984221011,0.6849780728666124,2.0770269245630057,11.966081866434882,0.07418578682067652,4.607728293579874,0.732934296131134,0.6831995844841003,1.4406280517578125,1.095090627670288,results\method_outputs\db\drjohnson\vggt_pose\12views_quality,,10.426694799996767
db/drjohnson,VGGT,12views_quality_diverse,12,quality_diverse,success,12,cuda,torch.bfloat16,0.547921999997925,1.8424768000004406,8464.43212890625,0.9902585311438074,0.7386183452173417,2.5214925548833933,12.252542244669266,0.08082065838823292,6.117313495071391,0.5725404620170593,0.545446515083313,1.638230323791504,1.1697043180465698,results\method_outputs\db\drjohnson\vggt_pose\12views_quality_diverse,,10.426694799996767
db/drjohnson,VGGT,20views_uniform,20,uniform,success,20,cuda,torch.bfloat16,1.1316428999998607,8.067104700003256,8734.6669921875,0.44586356092752705,0.340350939148281,1.0775607953366981,10.963862009198282,0.040666652002137905,5.787249308004608,0.6214673519134521,0.5717940926551819,2.1314053535461426,1.4507967233657837,results\method_outputs\db\drjohnson\vggt_pose\20views_uniform,,10.426694799996767
