scene,views,seed,split,status,selected_images,excluded_test_images,psnr,ssim,lpips,num_test_images,metrics_summary,todo
db/playroom,8,2,8views_random_seed2,evaluated,"[""DSC05582.jpg"", ""DSC05616.jpg"", ""DSC05631.jpg"", ""DSC05696.jpg"", ""DSC05742.jpg"", ""DSC05750.jpg"", ""DSC05758.jpg"", ""DSC05770.jpg""]",20,14.961267657360107,0.5859510332345963,0.5064508795738221,20,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed2,
db/playroom,12,2,12views_random_seed2,evaluated,"[""DSC05580.jpg"", ""DSC05582.jpg"", ""DSC05647.jpg"", ""DSC05676.jpg"", ""DSC05678.jpg"", ""DSC05684.jpg"", ""DSC05699.jpg"", ""DSC05706.jpg"", ""DSC05716.jpg"", ""DSC05718.jpg"", ""DSC05729.jpg"", ""DSC05782.jpg""]",20,16.64154556221332,0.5838878080248833,0.49688946902751924,20,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed2,
db/playroom,20,2,20views_random_seed2,evaluated,"[""DSC05579.jpg"", ""DSC05609.jpg"", ""DSC05618.jpg"", ""DSC05620.jpg"", ""DSC05622.jpg"", ""DSC05623.jpg"", ""DSC05637.jpg"", ""DSC05638.jpg"", ""DSC05662.jpg"", ""DSC05665.jpg"", ""DSC05675.jpg"", ""DSC05681.jpg"", ""DSC05694.jpg"", ""DSC05701.jpg"", ""DSC05718.jpg"", ""DSC05719.jpg"", ""DSC05724.jpg"", ""DSC05736.jpg"", ""DSC05768.jpg"", ""DSC05803.jpg""]",20,20.65369968839665,0.7128101617097855,0.3704565614461899,20,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed2,
db/playroom,2,3,2views_random_seed3,evaluated,"[""DSC05638.jpg"", ""DSC05745.jpg""]",20,6.861965489588014,0.2137162777595222,0.721791896224022,20,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed3,
db/playroom,3,3,3views_random_seed3,evaluated,"[""DSC05608.jpg"", ""DSC05677.jpg"", ""DSC05729.jpg""]",20,8.800228273337314,0.3459300043061376,0.6786363780498504,20,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed3,
db/playroom,5,3,5views_random_seed3,evaluated,"[""DSC05590.jpg"", ""DSC05708.jpg"", ""DSC05742.jpg"", ""DSC05749.jpg"", ""DSC05755.jpg""]",20,13.558973849821546,0.5026415631175041,0.6002858102321624,20,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed3,
db/playroom,8,3,8views_random_seed3,evaluated,"[""DSC05576.jpg"", ""DSC05626.jpg"", ""DSC05637.jpg"", ""DSC05644.jpg"", ""DSC05707.jpg"", ""DSC05732.jpg"", ""DSC05750.jpg"", ""DSC05780.jpg""]",20,16.712779409709317,0.6071872368454934,0.5020087942481041,20,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed3,
db/playroom,12,3,12views_random_seed3,evaluated,"[""DSC05614.jpg"", ""DSC05637.jpg"", ""DSC05683.jpg"", ""DSC05685.jpg"", ""DSC05707.jpg"", ""DSC05708.jpg"", ""DSC05723.jpg"", ""DSC05728.jpg"", ""DSC05731.jpg"", ""DSC05757.jpg"", ""DSC05758.jpg"", ""DSC05786.jpg""]",20,14.930591976160745,0.5423782035708428,0.5074106708168984,20,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed3,
db/playroom,20,3,20views_random_seed3,evaluated,"[""DSC05576.jpg"", ""DSC05580.jpg"", ""DSC05583.jpg"", ""DSC05590.jpg"", ""DSC05616.jpg"", ""DSC05647.jpg"", ""DSC05658.jpg"", ""DSC05683.jpg"", ""DSC05685.jpg"", ""DSC05695.jpg"", ""DSC05708.jpg"", ""DSC05745.jpg"", ""DSC05746.jpg"", ""DSC05767.jpg"", ""DSC05779.jpg"", ""DSC05781.jpg"", ""DSC05793.jpg"", ""DSC05798.jpg"", ""DSC05799.jpg"", ""DSC05801.jpg""]",20,20.043616323471184,0.7023009866476059,0.3926773577928543,20,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed3,
db/playroom,2,4,2views_random_seed4,evaluated,"[""DSC05638.jpg"", ""DSC05658.jpg""]",20,9.753075425416839,0.42210104689002037,0.7140736907720566,20,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed4,
db/playroom,3,4,3views_random_seed4,evaluated,"[""DSC05600.jpg"", ""DSC05685.jpg"", ""DSC05781.jpg""]",20,11.773906675542502,0.4120595548301935,0.6295767620205879,20,results\method_outputs\db\playroom\3dgs_sparse\3views_random_seed4,
db/playroom,5,4,5views_random_seed4,evaluated,"[""DSC05578.jpg"", ""DSC05591.jpg"", ""DSC05597.jpg"", ""DSC05615.jpg"", ""DSC05709.jpg""]",20,14.720407261964391,0.5217702694237232,0.5569578379392623,20,results\method_outputs\db\playroom\3dgs_sparse\5views_random_seed4,
db/playroom,8,4,8views_random_seed4,evaluated,"[""DSC05589.jpg"", ""DSC05634.jpg"", ""DSC05654.jpg"", ""DSC05686.jpg"", ""DSC05723.jpg"", ""DSC05731.jpg"", ""DSC05794.jpg"", ""DSC05805.jpg""]",20,15.831856476159885,0.5416870281100273,0.5520795121788978,20,results\method_outputs\db\playroom\3dgs_sparse\8views_random_seed4,
db/playroom,12,4,12views_random_seed4,evaluated,"[""DSC05579.jpg"", ""DSC05602.jpg"", ""DSC05620.jpg"", ""DSC05631.jpg"", ""DSC05644.jpg"", ""DSC05646.jpg"", ""DSC05649.jpg"", ""DSC05675.jpg"", ""DSC05727.jpg"", ""DSC05759.jpg"", ""DSC05799.jpg"", ""DSC05805.jpg""]",20,17.296484271742866,0.6187581419944763,0.4691248118877411,20,results\method_outputs\db\playroom\3dgs_sparse\12views_random_seed4,
db/playroom,20,4,20views_random_seed4,evaluated,"[""DSC05596.jpg"", ""DSC05618.jpg"", ""DSC05622.jpg"", ""DSC05626.jpg"", ""DSC05641.jpg"", ""DSC05648.jpg"", ""DSC05650.jpg"", ""DSC05654.jpg"", ""DSC05657.jpg"", ""DSC05660.jpg"", ""DSC05668.jpg"", ""DSC05678.jpg"", ""DSC05683.jpg"", ""DSC05708.jpg"", ""DSC05717.jpg"", ""DSC05731.jpg"", ""DSC05750.jpg"", ""DSC05755.jpg"", ""DSC05767.jpg"", ""DSC05784.jpg""]",20,19.509551890938596,0.6735099747776985,0.41322464421391486,20,results\method_outputs\db\playroom\3dgs_sparse\20views_random_seed4,
