scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/drjohnson,8views_random_seed1,8,random_seed1,3000,4,success,67.50641180000093,43.48642959594727,0.004346195189282298,8633,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed1\run_report.json
db/drjohnson,8views_random_seed2,8,random_seed2,3000,4,success,68.63851750000322,41.09959259033204,0.00650471979752183,13061,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed2\run_report.json
db/drjohnson,8views_random_seed3,8,random_seed3,3000,4,success,53.260618400003295,41.701978302001955,0.004791121417656541,10910,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3\run_report.json
db/drjohnson,8views_random_seed4,8,random_seed4,3000,4,success,64.5995516000039,42.17207565307618,0.00506179565563798,9432,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed4\run_report.json
db/drjohnson,8views_uniform,8,uniform,3000,4,success,75.24325599999975,42.037925720214844,0.005744776362553239,10591,results\method_outputs\db\drjohnson\3dgs_sparse\8views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\8views_uniform\run_report.json
db/drjohnson,12views_quality,12,quality,3000,4,success,72.92352200000005,38.91848907470703,0.0070194645319134,11098,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality\run_report.json
db/drjohnson,12views_quality_diverse,12,quality_diverse,3000,4,success,71.31482400000004,38.722388458251956,0.005950606521219016,11135,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_diverse\run_report.json
db/drjohnson,12views_quality_image_diverse,12,quality_image_diverse,3000,4,success,120.77468760000193,38.69150314331055,0.006650385446846485,11652,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\12views_quality_image_diverse\run_report.json
db/drjohnson,12views_random,12,random,3000,4,success,73.79819159999988,41.57556686401367,0.0050342208705842495,15088,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random\run_report.json
db/drjohnson,12views_random_seed0,12,random_seed0,3000,4,success,73.68339560000459,41.7382698059082,0.005010836804285646,12875,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed0\run_report.json
db/drjohnson,12views_random_seed1,12,random_seed1,3000,4,success,78.21591159999662,41.11990585327149,0.005592786520719529,12598,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed1\run_report.json
db/drjohnson,12views_random_seed2,12,random_seed2,3000,4,success,75.12156260000484,41.52615661621094,0.00471891132183373,13879,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed2\run_report.json
db/drjohnson,12views_random_seed3,12,random_seed3,3000,4,success,70.12209759999678,40.85415954589844,0.005209398455917835,9832,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3\run_report.json
db/drjohnson,12views_random_seed4,12,random_seed4,3000,4,success,70.25823500000115,42.38478012084961,0.004745499929413199,15619,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed4\run_report.json
db/drjohnson,12views_uniform,12,uniform,3000,4,success,70.12852500000008,42.39815139770508,0.0045176896732300525,11312,results\method_outputs\db\drjohnson\3dgs_sparse\12views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\12views_uniform\run_report.json
db/drjohnson,20views_quality,20,quality,3000,4,success,80.76080430000002,34.630330657958986,0.00958668515086174,16053,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality\run_report.json
